Name,Symbol,Decimals,Chain,Token Address,dailyLimit,executionDailyLimit,minPerTx,maxPerTx,dailyLimit (raw),executionDailyLimit (raw),minPerTx (raw),maxPerTx (raw)
"Backed HIGH € High Yield Corp Bond",BHIGH,18,Gnosis,0x20C64dEE8FdA5269A78f2D5BDBa861CA1d83DF7a,0,0,0,0,0,0,0,0
"Backed HIGH € High Yield Corp Bond",BHIGH,18,Ethereum,null,null,null,null,null,null,null,null,null
"Elk Finance",ELK,18,Gnosis,0xeEeEEb57642040bE42185f49C52F7E9B38f8eeeE,0,0,0,0,0,0,0,0
"Elk Finance",ELK,18,Ethereum,null,null,null,null,null,null,null,null,null
"Everclear",CLEAR,18,Gnosis,0x58b9cB810A68a7f3e1E4f8Cb45D1B9B3c79705E8,1000000000000000000.000000000000000001,1000000000000000000.000000000000000001,0.000000000000000001,1000000000000000000,1000000000000000000000000000000000001,1000000000000000000000000000000000001,1,1000000000000000000000000000000000000
"Everclear",CLEAR,18,Ethereum,0x58b9cB810A68a7f3e1E4f8Cb45D1B9B3c79705E8,10000000000000000000.00000000000000001,10000000000000000000.00000000000000001,0.000000000000000001,1000000000000000000,10000000000000000000000000000000000010,10000000000000000000000000000000000010,1,1000000000000000000000000000000000000
"Space Token",SPACE,18,Gnosis,0x1D1498166DDCEeE616a6d99868e1E0677300056f,0,0,0,0,0,0,0,0
"Space Token",SPACE,18,Ethereum,null,null,null,null,null,null,null,null,null
"Lucid USDC",LUSDC,6,Gnosis,0xCD2f64112ec04e21cC56F7bf2294A6A37790305e,0,0,0,0,0,0,0,0
"Lucid USDC",LUSDC,6,Ethereum,null,null,null,null,null,null,null,null,null
"DAOhaus Token",HAUS,18,Gnosis,0xb0C5f3100A4d9d9532a4CfD68c55F1AE8da987Eb,120000.000000000000000001,1000000000000000000,0.000000000000000001,120000,120000000000000000000001,1000000000000000000000000000000000000,1,120000000000000000000000
